segment,count,mean,std,mae,rmse,r2
1111_2404,225,82.0,22.0,11.479096849203847,14.52997867623768,0.26750233965501646
1112_1113,411,40.0,16.0,11.220240587126131,14.213779685863429,0.10480922706624307
1113_1114,413,44.0,16.0,11.86041624759097,14.370587907137583,0.10715150181099886
1114_1115,413,43.0,19.0,13.009401734460356,16.72959266058132,0.16270121918633573
1115_2437,407,63.0,17.0,10.159751920839552,13.03452133324764,0.10880395961987599
1117_1118,690,38.0,18.0,10.709064184456121,13.691537248737223,0.11288029763159269
1118_1119,692,23.0,16.0,8.753562060815808,10.19226588290846,0.06739002592397203
1119_1120,672,62.0,64.0,25.99941453237743,39.52485605251635,0.03503665696067526
112_113,1343,117.0,37.0,25.063040257016343,31.685195208922213,0.07297618465666011
1120_1164,413,193.0,108.0,78.30315217310792,100.02737668307624,0.12619440055032483
1121_1122,1308,37.0,14.0,9.911206815533031,12.1736038958122,0.06932133547029218
1122_1123,1314,26.0,13.0,7.103471322842157,8.834667063840916,0.07147969604347237
1123_1124,1307,23.0,14.0,7.453818048711746,9.249283497217727,0.042866593824573695
1124_1125,1297,67.0,35.0,18.78692028717017,24.374437178801486,0.1680378458454359
1125_1127,1306,88.0,33.0,20.887286661889704,26.27828609141578,0.23522549262841141
1127_1130,1305,80.0,33.0,20.199466726017103,26.5108297295693,0.08815067718011693
113_114,941,31.0,19.0,12.425312274131507,15.977131921303629,0.017701108527444442
1130_1140,980,138.0,77.0,42.248045661434105,53.38592066328439,0.2061130597588079
1130_2550,320,73.0,39.0,25.61543650399161,31.416680449755624,0.16105530949783553
1135_7064,387,61.0,14.0,10.56134034001958,13.031911814803962,0.024757564324889292
1137_5131,429,112.0,45.0,28.65630180023821,35.706946614582755,0.2003936870794607
114_115,943,65.0,29.0,21.482136163919126,25.8704851531203,0.09172484745333043
1140_1141,703,69.0,19.0,13.356296772558588,16.785303124555004,0.036165598935633425
1140_2515,604,61.0,28.0,16.61600003523938,21.22316494371218,0.20943894637373128
1141_1142,708,36.0,12.0,10.176836629798396,11.540375322280111,0.005179694032910298
1142_1143,706,58.0,12.0,10.650658887612483,12.363954042198106,-0.04137148825268566
1143_1144,705,27.0,14.0,11.215105992002071,12.368287314815818,-0.026441285692779815
1144_1145,703,66.0,35.0,17.129848894469458,21.35775504773415,0.08151664466681752
1145_4869,704,71.0,20.0,12.946907830197096,15.987902744150446,-0.09445494829922119
115_37,1486,54.0,23.0,16.88487367884451,21.238289506912103,0.07326913909993771
1150_1151,700,81.0,31.0,21.30658390166504,26.925204607201888,0.15038702581164276
1151_1152,701,24.0,14.0,10.830359048112689,12.43517760574255,0.020185150942325092
1152_1153,694,52.0,14.0,10.289875781580724,12.664112043498898,-0.023646309215645145
1153_1154,695,30.0,14.0,9.780438047305411,11.508618239803429,0.03453173919054586
1154_946,698,99.0,33.0,19.751562069548264,25.04138610139628,0.16570510899417545
1155_1157,1328,58.0,17.0,11.105337050721735,13.73833247672904,0.13182560042167524
1157_1158,1333,68.0,28.0,19.633816330611836,24.519276396221482,0.13553864042197616
1158_1159,1331,50.0,25.0,17.707481997808646,22.27394710067299,0.1482841639954804
1159_1160,1328,40.0,18.0,11.55217631469812,14.619215835535805,0.12233091312416955
116_117,472,22.0,16.0,12.748995399114717,14.573467457833694,0.07074471469993004
1160_1161,1329,26.0,12.0,8.163380955147025,9.834142400777779,0.033035325653815395
1161_1162,1309,35.0,39.0,12.510795856458556,18.96248328253036,0.05115566303261698
1162_1163,1317,45.0,52.0,28.070774897560966,39.61389158720075,0.048658694741676056
1163_1164,979,116.0,62.0,35.044833620897286,46.04724887653988,0.20018823347011827
1163_1337,345,110.0,57.0,33.59103350187347,42.23506328463314,0.17207264092707764
1164_1165,1377,67.0,42.0,16.427188808178506,22.82786714543489,0.15265773574941965
1165_1166,1402,92.0,40.0,26.64225884361349,32.89720169178022,0.17569281199317144
1166_1167,2296,41.0,20.0,14.35017378980386,17.792290669479723,0.0690763373100659
1167_1168,2299,49.0,24.0,16.96966965410492,21.14752274603524,0.10567667749772158
1168_1169,2303,32.0,15.0,10.722966750375146,12.879034473657011,0.06464725630294088
1169_1170,2294,48.0,39.0,15.576480040434442,20.542555803654047,0.1314006470825888
117_118,471,34.0,21.0,9.695468548301195,11.781587146200717,0.09038021287267517
1170_1069,2881,68.0,31.0,21.39150828308644,25.702878474076595,0.14428710648756327
1171_1172,905,75.0,62.0,26.80659281156793,33.394706918500475,0.1288482290896671
1172_1173,931,72.0,63.0,28.403601491116746,36.12418900647348,0.1519567233315584
1173_1174,981,91.0,71.0,29.060179632742447,37.335299512243466,-0.025655976554149307
1174_1175,983,82.0,56.0,29.133030344638932,37.297587025948886,0.05583882428274989
1174_4725,28,188.0,260.0,68.03037542489638,88.65847218130064,-0.02495410889048988
1175_15,986,100.0,46.0,35.230645502716094,40.89647582681852,0.05833253616911127
1176_1177,26,49.0,12.0,8.81556382150977,12.477107809026496,-0.08560425244455616
1177_1178,26,110.0,20.0,22.976285757859443,29.53345426286645,-1.1673529906158224
1178_1179,25,106.0,66.0,37.74828820205093,39.69706912459439,-6.770744723121566
1179_7112,21,237.0,113.0,74.47198189699229,99.14228592011588,-0.022986488516558046
118_119,475,94.0,38.0,27.977359656163493,34.1733713402508,0.13887047040452682
1181_7350,510,30.0,15.0,11.345460656619352,13.56235314851387,0.042413768718292166
1182_1550,571,32.0,9.0,6.770836572405561,7.930276397980302,0.0019732774930456554
1185_1186,453,48.0,15.0,10.801001106642847,13.176705283080555,0.05862982941446648
1186_1187,449,55.0,19.0,11.385021040015546,14.385405239853279,0.0900436084830667
1187_1188,437,56.0,51.0,13.789915693329442,20.530164567994124,-0.040911832335065235
1188_216,430,108.0,58.0,29.894060989475634,40.19279041269651,0.219577830545449
119_44,2585,43.0,20.0,14.279990869023202,17.938954866989093,0.08071292848250422
1190_1191,397,42.0,20.0,14.409583022865744,18.614624416781478,0.039965524076146175
1191_1192,397,30.0,14.0,10.598591496446714,12.583460424799066,0.08285717324520347
1192_1193,397,39.0,20.0,15.054947602550206,17.746807673314777,0.07897904899779418
1193_1194,394,20.0,9.0,6.129894383431998,7.924262189960261,0.068525773448328
1194_1195,394,56.0,33.0,14.132471921696384,18.405047554056036,0.13818787933696708
1195_664,386,103.0,54.0,32.34545576366416,42.23467223808338,0.17556818592801227
1196_1197,2411,44.0,22.0,17.286917772163342,21.22686576182609,0.04268614328737763
1197_1198,2300,78.0,28.0,18.29096693168306,22.561876023814996,0.1348549741797258
1198_1199,1688,82.0,30.0,16.652183626048622,21.4722980999936,0.1978109198804806
1198_1222,409,69.0,24.0,14.245956463590364,18.07178569307704,0.18901361973183706
1198_4782,204,97.0,37.0,25.182736052090185,31.59557373780627,0.23954966657815624
1199_1200,1689,34.0,26.0,11.805352351003627,14.285610513816279,0.05226384510503301
12_14,1878,70.0,34.0,24.843190942783455,28.8488257504739,0.08209858097044465
1200_4385,1690,38.0,15.0,10.797346984673483,13.55602512353594,0.06234369923759364
1201_1202,1226,65.0,29.0,24.078715817161374,28.078331198936784,0.08523850721525528
1201_4695,471,78.0,30.0,25.36115649254863,29.427702481574997,0.07825497603551668
1202_1203,1200,68.0,25.0,14.464194830510163,18.580884148701408,0.03403589276230412
1203_6115,1222,79.0,23.0,16.70677402558484,21.043504964901487,0.14253712358828252
1205_1206,514,195.0,118.0,42.04485553269565,59.434389086710844,0.2598579555694913
1206_1207,521,64.0,21.0,13.434415119616713,17.307938831488876,0.16498334107883617
1207_1208,518,32.0,7.0,4.376127972555459,5.912893862749475,-0.03998367912646206
1208_1209,515,24.0,12.0,7.07531496903232,8.573382822598665,0.00022027673174407347
1209_1210,512,18.0,7.0,3.5388141721630193,4.888264330314717,0.016356853880489353
1210_1211,263,27.0,14.0,8.687546920565596,10.285107755651184,0.11337757943129889
1210_3575,253,67.0,29.0,15.771174716507458,20.448506363065356,0.17883561081240107
1211_3575,262,35.0,16.0,10.088527954724851,12.752698122145267,0.15767810019445638
1212_1213,506,34.0,16.0,10.034213045754498,12.302928342035136,0.14172428502689216
1213_1214,503,18.0,8.0,3.3635621294905347,4.838246003595663,0.04493629052756076
1214_1215,496,19.0,14.0,6.055322359715763,8.227473227964413,0.020883937264114083
1215_1216,491,33.0,23.0,7.525518890433713,11.048526364608458,0.10733111294214692
1216_1217,506,48.0,25.0,15.65089859097278,19.43785998070156,0.13837245874300774
1217_4563,506,156.0,57.0,36.167823295007246,46.24791417567759,0.1625157406365959
1218_1258,609,92.0,25.0,14.71738837517746,18.72038979532075,0.11711021720927284
1218_1270,1234,68.0,21.0,13.988619590836638,17.406354665362223,0.15040817397676054
1219_1220,2583,59.0,21.0,14.899109301934914,18.572240406213243,0.10627042001730158
1220_1221,2705,58.0,24.0,18.245485861635128,22.382374559322788,0.09197715990207433
1221_664,2589,73.0,31.0,23.57662293355529,28.425797957206214,0.06825991195642567
1222_1223,406,28.0,12.0,8.741242324012006,10.379376504883783,-0.024242256641095583
1223_1224,409,27.0,9.0,6.459042405270745,8.234721715397916,-0.07118626781147186
1224_1225,408,32.0,14.0,9.825982964191253,11.546827759961431,-0.01045883669712544
1225_1226,404,74.0,34.0,18.21922802836212,23.30244867281646,0.1324115282452245
1226_1227,400,44.0,15.0,6.958743100505104,9.63928403921166,0.07287423384803826
1227_1228,389,63.0,20.0,15.882252032765784,19.85782061826584,0.051559598230531356
1227_1253,23,68.0,15.0,16.921972459731823,19.340544385910416,-0.39372831766526195
1228_1244,792,33.0,12.0,7.219929257333679,9.408485228018291,0.10774410570630755
1229_1231,382,48.0,20.0,8.130849821883919,10.1644407704345,-0.2588287432930614
1231_1232,744,24.0,8.0,5.117865075246789,6.630163859414599,-0.05492773261926032
1231_1235,5,39.0,13.0,7.0006830354353955,8.907168990013586,-0.9716118145293153
1232_1233,747,25.0,11.0,5.498996452538036,7.40089454335936,0.023513691862415587
1233_1234,746,31.0,25.0,6.324334747369265,8.763973176014495,0.025422957742837315
1234_7358,722,75.0,130.0,25.725927874306784,48.856353198014595,0.06214984512846167
1235_1251,847,50.0,25.0,13.743534645439823,17.632573183078463,0.13854430216170743
1237_1238,381,75.0,29.0,18.52000063123966,23.80670775202362,0.22290509365242084
1238_1239,390,50.0,22.0,12.966085165158793,16.9765100178744,0.2151528859979015
1239_247,389,67.0,23.0,14.059494609742156,17.730625766676837,0.2717632947358847
1240_1241,395,29.0,14.0,9.854016376055878,11.773503800311447,0.1374577085177512
1241_1242,393,26.0,13.0,7.493832975791122,9.288543370521218,0.10423690657536522
1242_1277,387,75.0,37.0,20.31515754031664,27.443390744537577,0.25612249305292234
1243_4696,462,41.0,11.0,8.485131792882463,10.420187125587725,0.05096347899648501
1244_1246,66,34.0,33.0,7.8709140590062665,9.490163895540475,0.10874691926798297
1244_254,360,148.0,26.0,17.58031062397071,22.049551505932712,-0.12179235731850269
1245_4693,613,43.0,15.0,10.777778967989134,12.908954120074254,0.00045014011727573244
1246_1229,796,31.0,18.0,9.23621467590352,11.115652696825302,0.023834780660399457
1247_1248,613,49.0,16.0,10.960218048127604,13.972858478676203,0.025043932504205224
1248_1273,617,85.0,35.0,26.478493782033972,31.9896034823828,0.05821546438728209
1249_1247,614,26.0,15.0,10.772240310638393,12.951910661974592,0.039624048517711064
1250_4698,461,41.0,14.0,9.238501442901358,11.195405476631182,0.0712602570821168
1251_253,706,148.0,37.0,23.800591113641122,30.138675438497188,0.17086140045341625
1251_7130,142,37.0,33.0,18.747556187254627,24.111289068560616,0.29636383004440736
1253_969,22,101.0,34.0,27.341098888032278,32.77920822568768,-0.33949434006467016
1254_1255,612,60.0,27.0,17.347072095619684,22.30457949051561,0.06582152201255742
1255_1256,615,23.0,10.0,7.7598224903451865,9.351574408797351,-0.02856904582385611
1256_4694,615,57.0,17.0,11.683872550700482,14.989374318402634,0.11414384991219018
1258_1259,611,42.0,16.0,10.854092161178764,13.653025041220324,0.025113925140216153
1259_1260,612,47.0,13.0,9.858083405767644,11.998900908296651,0.02042491124643142
126_6182,457,85.0,68.0,23.655543027774804,28.61451009659859,0.034574845781098706
1260_1262,7,85.0,19.0,11.531127783179645,13.321202878806004,-0.09209593830408958
1260_6130,601,40.0,17.0,11.098030338425188,14.730581162762416,0.0018351406764904876
1262_4692,607,63.0,21.0,14.053908155334323,17.98543319056304,0.03090188679756778
1265_6115,455,91.0,32.0,18.27070396497078,23.331816982132306,0.10236610934067047
1266_1267,454,56.0,13.0,9.042731582123533,11.744155025224739,-0.050310135302529035
1267_1268,457,38.0,16.0,9.55456531957223,12.830225565262804,0.03608284258309902
1268_1269,459,51.0,16.0,8.880958000274907,11.418679906850251,-0.02844430279126353
1269_1265,459,32.0,14.0,9.457872514522471,10.673678526283108,0.0004035744348023229
127_112,868,86.0,33.0,25.203512779629474,30.977045025340086,0.05872007560609371
1270_1272,1238,64.0,26.0,13.895717198208356,18.497906127224503,-0.03242737851777777
1272_1273,1237,47.0,23.0,17.937929382198696,21.960597324047,0.05630265072316554
1273_1274,1871,79.0,30.0,24.67447991419104,29.496516958612112,0.03425540577048092
1274_1275,1880,69.0,21.0,14.65185806195737,18.525112722672375,0.1214522479901532
1275_1276,1881,25.0,15.0,10.945067843281219,12.702320326646248,0.08697488462770986
1276_1277,1862,56.0,24.0,13.478052477481397,17.07950478557351,0.19608842354743183
1277_1219,2575,42.0,17.0,11.051488815703141,14.31357100141126,0.10275277665464155
1278_1282,1157,134.0,37.0,27.39873004483805,34.66626921139872,-0.13272213741834005
1278_1934,620,131.0,46.0,31.317722155964635,39.920405750731824,0.11317581322616033
1279_1282,553,141.0,39.0,28.333285504257656,35.633734789480634,-0.08098925664903467
1279_1283,530,142.0,42.0,27.91710158699534,35.60321999806509,0.008868358793887476
1279_1934,641,130.0,57.0,36.91019822521443,47.393596239692435,0.0074565810429446655
1280_6348,687,79.0,35.0,26.417526974019243,31.679684558540735,0.05496231840880994
1280_6366,536,105.0,37.0,30.12444668562122,36.0860895487873,0.04240708726482567
1281_1329,741,60.0,30.0,22.852743439599482,28.211823754524943,0.056468879599111954
1282_4456,1714,111.0,41.0,28.984850451930683,36.505759115971976,-0.021349338044672095
1283_4456,849,81.0,37.0,25.995705064250938,31.900749668028816,0.1341338015681428
1283_7579,2486,123.0,49.0,28.790442050253738,36.613944495243224,0.035334827535858704
1284_1285,2545,126.0,48.0,29.65070804246327,37.773088838291116,0.1685216305156777
1285_1016,3323,150.0,49.0,34.073461493814264,42.58729601645849,0.12403899369804461
1285_1286,1162,177.0,54.0,36.058835397486504,45.11790657410198,0.1700479469314511
1285_1287,548,188.0,55.0,36.2859522577456,45.094377004522336,0.2028444192306711
1286_1288,1157,76.0,37.0,23.324140323654802,29.219527422851794,0.09132159700901654
1287_1288,548,63.0,31.0,21.203452889596864,26.548799649156123,-0.0025671028631095716
1288_1289,1702,44.0,23.0,13.448340052477286,17.174685543041576,0.09134322267815331
1289_1290,1090,104.0,43.0,27.886003318550724,34.724439622095964,0.07039670866263281
1289_1360,618,104.0,45.0,30.19420858080261,38.780052548139174,0.17109593954787938
129_130,955,33.0,14.0,9.403160414376657,12.130461367526843,0.03350435317930489
1290_1291,1613,99.0,57.0,33.16537560883754,41.62018107419363,0.16712363862696722
1291_1292,843,65.0,37.0,15.291574554496275,20.043413298819207,0.10829907528281435
